,AUC,AUPR,ACC,MCC,F1
DeepCPI,2.198438658122688e-07,1.9155724772540132e-06,2.8962662253669252e-06,5.90635185942851e-06,3.5477912476966107e-09
DeepConv-DTI,1.4928578209414337e-05,0.00019700394581344488,8.1744151276114e-06,1.684614833162095e-05,0.00024344812406745732
MolTrans,3.221999498855165e-05,4.184409420224943e-05,5.2177579777824497e-05,5.3588295210939904e-05,5.7037111328777377e-05
TransformerCPI,7.124413079129706e-05,0.00032676262980859923,0.00010340292027143456,7.706884476420716e-05,0.0016779554294407623
DLM-DTI,1.652489896920304e-06,2.5611774213233183e-06,6.887735023147346e-05,2.7372392223416145e-05,0.0003723290522814778
HyperAttentionDTI,1.2094599147952886e-05,1.0655040758333803e-05,3.913755979188271e-05,3.8792606215845735e-05,4.9059602804850394e-05
MCANet,0.000185620603432728,8.652043813680031e-06,0.00030022012106239586,0.0001897014666606874,0.0008891097165960415
FMCA-DTI,0.00010997002152913627,0.00011699758120900679,8.268477243565424e-05,6.364311250978725e-05,0.0004467274662440204
DrugBAN,1.2229455153696592e-05,8.204089976960139e-05,0.00017716251060453974,0.0001369325838221704,0.0004911699508937079
CmhAttCPI,1.3607166005866177e-08,2.9124948540220506e-06,1.6451915445702518e-05,1.7265706859565277e-05,5.505243820996915e-07
BINDTI,0.00024699235102116165,0.00021432097084191141,0.0019291532549727177,0.0012648374221254902,0.007133346751765688
MGNDTI,6.192266331240433e-05,3.064826997849227e-05,2.0775785959915437e-05,1.3239482481165438e-05,0.0001286840204658055
DeepDTA,0.0007119980683241606,0.00032540489177742676,0.00011665975394216132,5.542589018206382e-05,0.0007366591648095719
DeepCDA,9.856934253084059e-05,8.73961868946431e-05,8.406490910131966e-05,8.441864419134999e-05,0.0001480279010526319
GraphDTA,1.7717747558114268e-06,2.1878263472090316e-06,4.362899625904421e-06,7.054181692638057e-06,7.317821767416872e-07
