,AUC,AUPR,ACC,MCC,F1
DeepCPI,7.017402876564138e-07,1.8183652703006224e-06,2.9838855690841575e-07,1.7643279732134255e-07,3.95672086885653e-06
DeepConv-DTI,7.422506794985627e-06,5.794324457524865e-05,2.4614406327690675e-08,2.9320683697900965e-07,8.756712433936446e-06
MolTrans,2.0925910978711588e-05,1.4470543733937277e-05,1.4203635325655457e-05,5.314500717013126e-06,0.00011881562623473665
TransformerCPI,3.5394043361737954e-07,2.125174161143205e-06,7.943210731247302e-06,3.630724852306187e-06,4.813504177763755e-05
DLM-DTI,3.321100805113756e-05,4.169474039727638e-05,6.993817141883752e-05,3.9056497239843396e-05,0.00023613795718965448
HyperAttentionDTI,1.9389952361563296e-05,4.868959259691691e-06,2.0290950693485294e-05,1.8123277116428233e-05,2.8376540177740287e-05
MCANet,2.248296737435336e-06,4.802630948613888e-07,5.235737190157245e-06,1.8890537614641526e-06,2.157584922653039e-05
FMCA-DTI,2.2331634190203636e-06,2.5769579264614497e-06,1.0338071054134404e-08,1.5247210108761163e-08,2.8816676730868846e-06
DrugBAN,1.617304255078056e-05,1.6217203617465032e-05,6.808247478680768e-06,5.177853525651497e-06,3.346048615215317e-05
CmhAttCPI,2.87159611434137e-07,9.624134060943898e-07,1.2243462591109122e-05,8.198649812243512e-07,0.0002518782860132242
BINDTI,0.0018962852042371423,0.0005752759366878654,0.0005160651391222071,0.0002932208100450206,0.002612050354644283
MGNDTI,2.062186857052583e-05,6.370717017898074e-05,2.564096854235559e-05,2.166406201342793e-05,4.590694738496649e-05
DeepDTA,2.8687996769024753e-05,1.4379213995777091e-05,1.5165930698829451e-05,7.236024780771735e-06,4.190065756011356e-05
DeepCDA,2.5830397619847433e-05,2.308533415451171e-05,2.5300774702153443e-05,1.5819088154786956e-05,0.00010054029871337441
GraphDTA,2.1474721401787785e-06,1.0442788395643792e-06,1.1082524114553018e-07,6.670204055280902e-08,1.038686009767489e-06
