,AUC,AUPR,ACC,MCC,F1
DeepCPI,6.659802899956798e-08,1.3419673071603147e-06,3.791974278127117e-11,3.3924067608039413e-11,4.218995917145693e-09
DeepConv-DTI,1.0828235874590681e-05,0.00011487306589770583,0.00012476328398376425,9.012497159956894e-05,3.4524241197219874e-05
MolTrans,1.789308199633137e-07,5.106209714180157e-07,4.468299111387583e-10,5.40097320340552e-10,3.823069238752903e-11
TransformerCPI,6.515427013636598e-07,3.7521251467677615e-07,8.214107906315168e-09,5.968159652505886e-09,8.168425402947286e-10
DLM-DTI,6.576437077533237e-05,9.027966746734373e-05,2.6953033653234775e-05,2.4422410595507777e-05,1.560372419744584e-05
HyperAttentionDTI,7.990985496795244e-08,9.86370834582996e-06,9.960896897951494e-10,9.347749686309639e-10,1.5142590151354117e-09
MCANet,1.6722287342749865e-05,0.00011482711830354666,7.996022243122251e-07,8.43723188619276e-07,1.3610491269433758e-06
FMCA-DTI,3.1078787294845835e-06,1.6177377251043607e-05,3.758875953216811e-09,1.2423380409022634e-09,2.574048682433616e-06
DrugBAN,1.6595451513287732e-10,1.6215334759400924e-05,4.827379129283732e-06,4.104000980363975e-06,2.773582300220062e-06
CmhAttCPI,3.3249395373971766e-07,8.826511813726417e-07,3.180278715981002e-09,3.2281350716848293e-09,2.33927396353062e-09
BINDTI,8.914780146134669e-05,8.404733567037668e-05,0.0002950752995309436,0.00024974840561838946,0.00015556086356977435
MGNDTI,2.5207335830446224e-05,3.4505516423995346e-05,1.1358380035925968e-06,1.1120846057492274e-06,2.064970239500378e-07
DeepDTA,2.4946229581796494e-05,6.565643520649476e-06,1.950583249455471e-08,1.863447373165396e-08,6.871026217036963e-09
DeepCDA,1.2781604789000899e-07,1.4310837854298752e-05,1.8786978420261533e-06,1.8693468607577942e-06,2.2321083135022858e-07
GraphDTA,1.2488260550547535e-05,2.1084561661797238e-05,8.533870255006082e-10,5.639007253297555e-10,2.9523649474632266e-07
