,AUC,AUPR,ACC,MCC,F1
DeepCPI,6.58604936248418e-08,1.4676076532253087e-07,1.1456063661837357e-06,1.531694874823634e-07,3.141843426461513e-07
DeepConv-DTI,4.2982075087667575e-07,9.157021733677279e-06,1.386658591269927e-05,1.2539746270173566e-05,1.295967031354294e-05
MolTrans,3.874577385593425e-09,5.076001653428345e-08,6.00244412297365e-07,1.3012850393775727e-05,1.451168182982794e-06
TransformerCPI,3.8154533201522154e-06,5.744932676877849e-09,1.605850907986976e-08,1.4631201191116464e-08,3.405504600968966e-08
DLM-DTI,0.00048527955493855705,7.422470865899118e-05,3.717956002033551e-05,2.4298659112458826e-05,1.7614893621512892e-05
HyperAttentionDTI,3.0172932521042066e-05,4.918118663316327e-05,0.00039888269372501074,4.2537402163349405e-05,0.00015531505148472428
MCANet,0.00038750842420520856,0.0005016825800191768,6.356839133542857e-05,0.00043892669349053303,0.0018248245604337778
FMCA-DTI,0.0001841353426799785,0.0002573993192612095,0.0001026123264561382,7.802939061161148e-05,5.904393643934305e-05
DrugBAN,1.9472214599731397e-05,1.3639206702033568e-05,4.17019681916992e-06,8.241714291899311e-07,1.5682800891321926e-08
CmhAttCPI,1.0256233147573617e-09,1.0163604931413455e-07,1.8304801766730396e-07,1.3831329319264407e-07,9.118859390338793e-08
BINDTI,0.003030619913755528,0.0035156969680952377,0.0023078789183782365,0.0009264301920002946,0.0005090022245895741
MGNDTI,6.360962633740764e-08,5.465698784705296e-07,3.947900914479628e-06,3.675265821984607e-06,3.924681832708343e-06
DeepDTA,1.8264032596654948e-06,7.0126778785401955e-06,0.00011628218781070677,1.4884827371037054e-05,0.00024511202606044554
DeepCDA,4.884391213860645e-06,8.154177805293995e-06,5.9958035081956306e-05,0.00012500616562645736,0.000291341144460152
GraphDTA,8.809609998045218e-06,1.214561607217973e-05,1.254931176238682e-05,7.650037460935126e-06,3.4034702332717096e-06
