,AUC,AUPR,ACC,MCC,F1
DeepCPI,1.3597528121483016e-08,2.6562112300354956e-07,4.273039834620671e-05,2.7217234994904917e-06,9.211246315832748e-06
DeepConv-DTI,1.0713336148821058e-06,8.713384135939582e-06,6.193635071426883e-06,2.4981357093638626e-06,7.840659446874383e-06
MolTrans,1.3433773013940677e-09,2.6440819090520922e-09,3.0477207043006113e-06,1.3261193399369444e-08,2.430436707704553e-10
TransformerCPI,6.277586384792483e-08,4.2159291063295196e-07,3.4168421468167e-06,4.886392996868123e-07,1.602702366686647e-07
DLM-DTI,3.8028333123753148e-06,1.7169976309498477e-05,6.2218405066142484e-06,8.058739735473166e-06,1.3552577394185905e-05
HyperAttentionDTI,6.159072998725491e-07,1.1493690236675618e-06,5.830150684327343e-05,2.422968327181966e-06,9.600651479430384e-06
MCANet,1.8432829210702957e-06,1.3430195058961501e-05,3.970894625686861e-05,1.5193315517287905e-05,2.555142326628303e-05
FMCA-DTI,6.068248905503154e-07,2.5732800059095644e-09,4.786630033536226e-07,8.188582018170815e-10,6.67433216787874e-07
DrugBAN,1.5391614101898696e-05,8.656646141911641e-06,6.26988730100632e-06,4.7697810610332324e-05,0.00017449526782779566
CmhAttCPI,2.350613813529235e-11,4.5564043547415625e-09,1.424838077094104e-06,3.3401678758354174e-06,3.506655510369777e-05
BINDTI,0.03872137401300793,0.01507282092953456,0.009478043817694137,0.017431644039738202,0.027471362014482956
MGNDTI,8.999991976644018e-09,3.622789774385511e-10,1.1227640070933683e-06,3.6144818965976183e-09,6.378671710147368e-08
DeepDTA,1.8860653129953363e-09,1.045926802354134e-10,1.3921906923195387e-07,1.6629062800409988e-09,1.0207311918747655e-08
DeepCDA,2.6850723607126764e-08,2.6598783581261784e-10,5.046076605170701e-08,1.8677671076233155e-09,3.243052221437066e-08
GraphDTA,9.35993917162102e-08,2.8409547265569053e-07,6.6047400469851445e-06,3.9960254020284535e-06,2.7882683608788882e-06
