,AUC,AUPR,ACC,MCC,F1
DeepCPI,0.6027,0.688,0.578,0.1052,0.6664
DeepConv-DTI,0.6024,0.6912,0.5741,0.1319,0.6249
MolTrans,0.579,0.665,0.5412,0.125,0.5208
TransformerCPI,0.58,0.6808,0.5412,0.1219,0.5275
DLM-DTI,0.517,0.6097,0.5022,0.0245,0.5113
HyperAttentionDTI,0.6383,0.7233,0.591,0.1213,0.6909
MCANet,0.6264,0.7134,0.592,0.1531,0.6587
FMCA-DTI,0.546,0.6303,0.5416,0.0512,0.6018
DrugBAN,0.5049,0.6024,0.4839,0.0173,0.4406
CmhAttCPI,0.5611,0.6792,0.5379,0.1134,0.5257
BINDTI,0.5792,0.6521,0.5366,0.1071,0.525
MGNDTI,0.5746,0.6635,0.5395,0.1112,0.5346
DeepDTA,0.6067,0.6896,0.5816,0.1328,0.6485
DeepCDA,0.6271,0.7088,0.5951,0.1671,0.6531
GraphDTA,0.5126,0.5989,0.4825,0.0317,0.412
EDeepDTI,0.7247,0.7942,0.6527,0.3345,0.6567
EDeepDTI-d,0.6652,0.731,0.6066,0.2423,0.6093
EDeepDTI-s,0.6888,0.7637,0.619,0.2795,0.6108
