,AUC,AUPR,ACC,MCC,F1
DeepCPI,0.7328,0.9134,0.7515,0.2602,0.8422
DeepConv-DTI,0.7549,0.9215,0.6929,0.2994,0.7857
MolTrans,0.7036,0.9027,0.644,0.2349,0.7442
TransformerCPI,0.6567,0.8861,0.6082,0.1706,0.7146
DLM-DTI,0.68,0.8908,0.6189,0.2031,0.7214
HyperAttentionDTI,0.7305,0.9086,0.7339,0.2768,0.8258
MCANet,0.7365,0.9121,0.711,0.2831,0.8045
FMCA-DTI,0.5126,0.8204,0.4706,0.0182,0.5674
DrugBAN,0.7343,0.9154,0.6653,0.2783,0.7607
CmhAttCPI,0.6962,0.8999,0.6511,0.225,0.7527
BINDTI,0.7233,0.9077,0.6589,0.2599,0.7531
MGNDTI,0.7435,0.9164,0.6865,0.2887,0.7808
DeepDTA,0.7149,0.9028,0.6692,0.2518,0.7677
DeepCDA,0.7096,0.9029,0.6659,0.2449,0.7651
GraphDTA,0.7344,0.9106,0.6648,0.2794,0.7602
EDeepDTI,0.8057,0.9396,0.7325,0.3765,0.816
EDeepDTI-d,0.792,0.934,0.7241,0.3526,0.8104
EDeepDTI-s,0.8064,0.9397,0.7282,0.3756,0.8121
