,AUC,AUPR,ACC,MCC,F1
DeepCPI,0.8598,0.3185,0.8449,0.3232,0.3322
DeepConv-DTI,0.8706,0.3897,0.9098,0.3828,0.4128
MolTrans,0.8139,0.255,0.8963,0.2677,0.3112
TransformerCPI,0.7427,0.1506,0.8348,0.1689,0.2183
DLM-DTI,0.668,0.1031,0.6921,0.1132,0.1642
HyperAttentionDTI,0.8285,0.271,0.7868,0.2738,0.2774
MCANet,0.8276,0.2538,0.8327,0.2849,0.3001
FMCA-DTI,0.5237,0.0612,0.6517,0.0158,0.1067
DrugBAN,0.7988,0.193,0.8732,0.2262,0.2688
CmhAttCPI,0.8046,0.1794,0.86,0.2561,0.2906
BINDTI,0.7563,0.1648,0.8571,0.1927,0.2401
MGNDTI,0.8347,0.2679,0.8881,0.2904,0.3269
DeepDTA,0.7873,0.1967,0.7779,0.2252,0.2437
DeepCDA,0.7078,0.1324,0.6723,0.1441,0.1823
GraphDTA,0.811,0.2093,0.894,0.2257,0.2738
EDeepDTI,0.9369,0.6783,0.948,0.5876,0.6083
EDeepDTI-d,0.9287,0.5496,0.9405,0.4893,0.5191
EDeepDTI-s,0.947,0.7023,0.955,0.619,0.6403
