,AUC,AUPR,ACC,MCC,F1
DeepCPI,0.9711,0.9301,0.9236,0.8061,0.8557
DeepConv-DTI,0.9765,0.9479,0.946,0.8551,0.8905
MolTrans,0.9635,0.9171,0.9244,0.7948,0.843
TransformerCPI,0.9251,0.8374,0.8784,0.6709,0.7507
DLM-DTI,0.9575,0.9073,0.9197,0.7835,0.8363
HyperAttentionDTI,0.9758,0.9439,0.9358,0.8338,0.8762
MCANet,0.9742,0.9413,0.9366,0.8328,0.8751
FMCA-DTI,0.9495,0.8707,0.9102,0.7561,0.8141
DrugBAN,0.9723,0.9411,0.9377,0.8335,0.8746
CmhAttCPI,0.9536,0.8957,0.9068,0.7495,0.811
BINDTI,0.9726,0.9396,0.9408,0.8411,0.8801
MGNDTI,0.9752,0.943,0.9416,0.8434,0.8821
DeepDTA,0.9724,0.9352,0.9372,0.8313,0.8727
DeepCDA,0.9685,0.9264,0.9307,0.8139,0.8596
GraphDTA,0.9744,0.9462,0.9442,0.8497,0.8862
EDeepDTI,0.9861,0.9685,0.9571,0.8849,0.913
EDeepDTI-d,0.9844,0.9657,0.9552,0.8795,0.909
EDeepDTI-s,0.9849,0.9659,0.9555,0.8803,0.9094
