,AUC,AUPR,ACC,MCC,F1
DeepCPI,0.5559,0.4679,0.5716,0.0624,0.334
DeepConv-DTI,0.5349,0.4338,0.5602,0.0074,0.2356
MolTrans,0.489,0.4201,0.5739,-0.0113,0.0799
TransformerCPI,0.5749,0.49,0.598,0.1175,0.3436
DLM-DTI,0.5259,0.4439,0.5642,0.0274,0.2683
HyperAttentionDTI,0.5547,0.4721,0.5806,0.058,0.2468
MCANet,0.545,0.4572,0.5815,0.0537,0.2196
FMCA-DTI,0.5087,0.414,0.5464,-0.0101,0.2546
DrugBAN,0.5475,0.454,0.5761,0.0491,0.2493
CmhAttCPI,0.5595,0.4865,0.5901,0.1001,0.3401
BINDTI,0.5416,0.459,0.5796,0.0648,0.2885
MGNDTI,0.5743,0.4888,0.5875,0.0877,0.3151
DeepDTA,0.5436,0.4624,0.5831,0.0574,0.2258
DeepCDA,0.5625,0.4832,0.594,0.1022,0.2977
GraphDTA,0.51,0.4322,0.5747,0.0244,0.1726
EDeepDTI,0.6677,0.5946,0.6269,0.198,0.2881
EDeepDTI-d,0.6013,0.5099,0.5955,0.0904,0.1467
EDeepDTI-s,0.7034,0.6393,0.6353,0.2377,0.2701
