,AUC,AUPR,ACC,MCC,F1
DeepCPI,0.8835,0.8907,0.8025,0.6059,0.7924
DeepConv-DTI,0.8882,0.8934,0.8145,0.6308,0.8047
MolTrans,0.8621,0.8696,0.791,0.5854,0.7736
TransformerCPI,0.8775,0.8743,0.8005,0.6015,0.7947
DLM-DTI,0.8462,0.8514,0.7709,0.5526,0.7389
HyperAttentionDTI,0.8817,0.8917,0.8017,0.6083,0.7829
MCANet,0.8759,0.8873,0.7993,0.6055,0.7775
FMCA-DTI,0.859,0.8586,0.7686,0.5477,0.7387
DrugBAN,0.8825,0.8879,0.8151,0.6306,0.8067
CmhAttCPI,0.8798,0.8749,0.8021,0.6043,0.7968
BINDTI,0.8784,0.8787,0.8101,0.6214,0.7996
MGNDTI,0.8799,0.8861,0.8026,0.6089,0.7859
DeepDTA,0.8718,0.8776,0.793,0.5927,0.7705
DeepCDA,0.8761,0.8808,0.7913,0.5883,0.7702
GraphDTA,0.8638,0.8691,0.7986,0.5981,0.7877
EDeepDTI,0.9352,0.943,0.8572,0.724,0.841
EDeepDTI-d,0.925,0.9346,0.8464,0.7036,0.8275
EDeepDTI-s,0.9508,0.9532,0.8758,0.7588,0.8636
