,AUC,AUPR,ACC,MCC,F1
DeepCPI,0.8575,0.881,0.7834,0.5659,0.7976
DeepConv-DTI,0.8754,0.8949,0.795,0.5898,0.8098
MolTrans,0.7022,0.7446,0.5851,0.277,0.4513
TransformerCPI,0.8086,0.8415,0.7214,0.4634,0.715
DLM-DTI,0.7516,0.7899,0.6636,0.367,0.6315
HyperAttentionDTI,0.8981,0.9185,0.8214,0.6453,0.8301
MCANet,0.8965,0.9205,0.8192,0.6417,0.8272
FMCA-DTI,0.7197,0.7598,0.6286,0.3168,0.5717
DrugBAN,0.6922,0.7402,0.5891,0.2739,0.4704
CmhAttCPI,0.812,0.8365,0.7223,0.4509,0.7314
BINDTI,0.7301,0.7609,0.6466,0.3343,0.6045
MGNDTI,0.8393,0.8675,0.7579,0.5264,0.7611
DeepDTA,0.8792,0.9026,0.7996,0.606,0.8053
DeepCDA,0.8777,0.9004,0.7989,0.6004,0.8092
GraphDTA,0.6633,0.7195,0.5825,0.2445,0.4793
EDeepDTI,0.9585,0.9697,0.8956,0.7904,0.9032
EDeepDTI-d,0.919,0.9365,0.8455,0.6976,0.8502
EDeepDTI-s,0.9549,0.9656,0.8823,0.7707,0.8863
