,AUC,AUPR,ACC,MCC,F1
DeepCPI,0.905,0.9083,0.8278,0.6561,0.8292
DeepConv-DTI,0.9164,0.9167,0.8431,0.6878,0.8451
MolTrans,0.9034,0.8996,0.834,0.6682,0.8331
TransformerCPI,0.8838,0.8848,0.8057,0.6123,0.8097
DLM-DTI,0.909,0.9067,0.8357,0.6719,0.8385
HyperAttentionDTI,0.9363,0.9367,0.8628,0.726,0.865
MCANet,0.9364,0.9418,0.865,0.7306,0.8676
FMCA-DTI,0.8762,0.8722,0.8061,0.613,0.8054
DrugBAN,0.9105,0.9106,0.8417,0.6845,0.8458
CmhAttCPI,0.8843,0.8841,0.8031,0.6082,0.8109
BINDTI,0.9081,0.9089,0.8356,0.6722,0.8386
MGNDTI,0.9225,0.9225,0.8508,0.7016,0.8514
DeepDTA,0.9298,0.9296,0.8573,0.7149,0.8586
DeepCDA,0.9257,0.9262,0.8526,0.7056,0.854
GraphDTA,0.8785,0.8897,0.8148,0.6299,0.8135
EDeepDTI,0.9701,0.9747,0.9178,0.8357,0.9172
EDeepDTI-d,0.9571,0.9633,0.8987,0.7976,0.8974
EDeepDTI-s,0.9727,0.9764,0.9227,0.8459,0.9216
