,AUC,AUPR,ACC,MCC,F1
DeepCPI,0.9054,0.8131,0.8165,0.6027,0.7224
DeepConv-DTI,0.9192,0.8434,0.8633,0.6584,0.7511
MolTrans,0.8978,0.8052,0.8478,0.6134,0.7093
TransformerCPI,0.8745,0.7669,0.8201,0.5586,0.6842
DLM-DTI,0.8805,0.7726,0.8339,0.5761,0.6837
HyperAttentionDTI,0.9277,0.8542,0.856,0.6694,0.767
MCANet,0.9235,0.8432,0.868,0.6789,0.7713
FMCA-DTI,0.9131,0.8311,0.8572,0.6385,0.7325
DrugBAN,0.883,0.7846,0.8364,0.5791,0.6809
CmhAttCPI,0.8814,0.7802,0.8355,0.5729,0.6678
BINDTI,0.874,0.7609,0.8241,0.5705,0.6924
MGNDTI,0.9119,0.8273,0.857,0.6457,0.7448
DeepDTA,0.9202,0.8446,0.8644,0.6601,0.7508
DeepCDA,0.9207,0.8457,0.8667,0.6712,0.7639
GraphDTA,0.9007,0.8124,0.8527,0.6269,0.7247
EDeepDTI,0.9457,0.8921,0.8911,0.7262,0.799
EDeepDTI-d,0.9393,0.8779,0.8856,0.7113,0.7871
EDeepDTI-s,0.9382,0.8746,0.8846,0.7077,0.7824
