,AUC,AUPR,ACC,MCC,F1
DeepCPI,0.935,0.8119,0.8515,0.6231,0.6927
DeepConv-DTI,0.9379,0.8286,0.9056,0.6787,0.7306
MolTrans,0.914,0.7702,0.8879,0.6254,0.6921
TransformerCPI,0.9086,0.7607,0.8792,0.6067,0.681
DLM-DTI,0.8982,0.732,0.8758,0.5853,0.6596
HyperAttentionDTI,0.9392,0.8272,0.8792,0.662,0.7277
MCANet,0.9363,0.8196,0.8942,0.6747,0.7392
FMCA-DTI,0.9236,0.8028,0.9006,0.6616,0.7162
DrugBAN,0.9159,0.7718,0.8903,0.6188,0.6744
CmhAttCPI,0.9027,0.747,0.8809,0.5896,0.654
BINDTI,0.8876,0.7218,0.8722,0.5818,0.6556
MGNDTI,0.9332,0.8182,0.902,0.6738,0.7324
DeepDTA,0.929,0.8093,0.9002,0.6684,0.7282
DeepCDA,0.9305,0.811,0.8994,0.6665,0.727
GraphDTA,0.9287,0.812,0.9031,0.6773,0.7352
EDeepDTI,0.9544,0.8707,0.9191,0.7269,0.7722
EDeepDTI-d,0.9512,0.863,0.9167,0.7179,0.7641
EDeepDTI-s,0.9481,0.855,0.9143,0.7082,0.7541
