From	To
A0A0B4J2F0	9606.ENSP00000484893
A0A0B4J2F2	9606.ENSP00000482829
A0A0U1RRE5	9606.ENSP00000489583
A0AV02	9606.ENSP00000377112
A0AV96	9606.ENSP00000295971
A0AVF1	9606.ENSP00000419279
A0AVI4	9606.ENSP00000372394
A0AVK6	9606.ENSP00000250024
A0AVT1	9606.ENSP00000313454
A0FGR8	9606.ENSP00000499020
A0FGR9	9606.ENSP00000374218
A0JLT2	9606.ENSP00000498791
A0JNW5	9606.ENSP00000279907
A0JP26	9606.ENSP00000483103
A0MZ66	9606.ENSP00000347532
A0PJK1	9606.ENSP00000379008
A0PJY2	9606.ENSP00000411145
A0PK00	9606.ENSP00000404991
A0PK11	9606.ENSP00000424711
A1A4S6	9606.ENSP00000336923
A1A4Y4	9606.ENSP00000428220
A1A519	9606.ENSP00000482552
A1A5B4	9606.ENSP00000332788
A1A5C7	9606.ENSP00000385028
A1E959	9606.ENSP00000379401
A1KXE4	9606.ENSP00000374565
A1KZ92	9606.ENSP00000348645
A1L0T0	9606.ENSP00000263383
A1L167	9606.ENSP00000382713
A1L190	9606.ENSP00000385480
A1L390	9606.ENSP00000247226
A1L3X0	9606.ENSP00000424123
A1L4H1	9606.ENSP00000374274
A1L4K1	9606.ENSP00000335651
A1X283	9606.ENSP00000309714
A1XBS5	9606.ENSP00000429367
A1Z1Q3	9606.ENSP00000217246
A2A288	9606.ENSP00000386616
A2A2Y4	9606.ENSP00000303508
A2IDD5	9606.ENSP00000293889
A2PYH4	9606.ENSP00000359454
A2RRP1	9606.ENSP00000281513
A2RTX5	9606.ENSP00000338093
A2RU14	9606.ENSP00000436596
A2RU30	9606.ENSP00000400892
A2RU49	9606.ENSP00000373640
A2RUB1	9606.ENSP00000386452
A2RUB6	9606.ENSP00000378167
A2RUC4	9606.ENSP00000346627
A2RUH7	9606.ENSP00000349678
A2VDJ0	9606.ENSP00000386787
A3KMH1	9606.ENSP00000368612
A4D0S4	9606.ENSP00000373433
A4D126	9606.ENSP00000385478
A4D161	9606.ENSP00000342576
A4D1B5	9606.ENSP00000257626
A4D1E9	9606.ENSP00000222511
A4D1P6	9606.ENSP00000346466
A4D1T9	9606.ENSP00000297767
A4D256	9606.ENSP00000497679
A4D2B0	9606.ENSP00000381150
A4GXA9	9606.ENSP00000457353
A4UGR9	9606.ENSP00000386840
A5A3E0	9606.ENSP00000386786
A5D8T8	9606.ENSP00000484176
A5D8V6	9606.ENSP00000301765
A5D8V7	9606.ENSP00000348757
A5D8W1	9606.ENSP00000373948
A5LHX3	9606.ENSP00000386212
A5PKW4	9606.ENSP00000384830
A5PLL7	9606.ENSP00000360715
A5X5Y0	9606.ENSP00000406050
A5YKK6	9606.ENSP00000320949
A5YM72	9606.ENSP00000389009
A6BM72	9606.ENSP00000386908
A6H8Y1	9606.ENSP00000351575
A6H8Z2	9606.ENSP00000415299
A6NC98	9606.ENSP00000349238
A6NCS4	9606.ENSP00000320089
A6ND01	9606.ENSP00000332963
A6ND36	9606.ENSP00000373647
A6NDB9	9606.ENSP00000344996
A6NDE4	9606.ENSP00000372484
A6NDG6	9606.ENSP00000330918
A6NDV4	9606.ENSP00000367230
A6NED2	9606.ENSP00000377801
A6NEM1	9606.ENSP00000481078
A6NFA1	9606.ENSP00000476820
A6NFQ2	9606.ENSP00000404265
A6NFX1	9606.ENSP00000342501
A6NFY7	9606.ENSP00000368165
A6NGG8	9606.ENSP00000332809
A6NGQ2	9606.ENSP00000359384
A6NHL2	9606.ENSP00000369784
A6NHR9	9606.ENSP00000326603
A6NHX0	9606.ENSP00000484732
A6NI15	9606.ENSP00000281047
A6NI61	9606.ENSP00000419712
A6NI73	9606.ENSP00000404236
A6NIH7	9606.ENSP00000344942
A6NIX2	9606.ENSP00000466953
A6NJ46	9606.ENSP00000429553
A6NJ78	9606.ENSP00000384369
A6NK06	9606.ENSP00000366682
A6NK58	9606.ENSP00000309463
A6NK89	9606.ENSP00000485526
A6NKB5	9606.ENSP00000258229
A6NMZ7	9606.ENSP00000351310
A6NNB3	9606.ENSP00000372059
A6NNM8	9606.ENSP00000491066
A6NNN8	9606.ENSP00000299709
A6NNY8	9606.ENSP00000483631
A6NNZ2	9606.ENSP00000496713
A6PVC2	9606.ENSP00000392252
A7E2V4	9606.ENSP00000381693
A7E2Y1	9606.ENSP00000483640
A7KAX9	9606.ENSP00000310561
A7MCY6	9606.ENSP00000354777
A7MD48	9606.ENSP00000267260
A7XYQ1	9606.ENSP00000318900
A8CG34	9606.ENSP00000481575
A8K0Z3	9606.ENSP00000485627
A8K2U0	9606.ENSP00000299698
A8K4G0	9606.ENSP00000376397
A8K7I4	9606.ENSP00000234701
A8K830	9606.ENSP00000484135
A8K8P3	9606.ENSP00000383145
A8K8V0	9606.ENSP00000378642
A8MPY1	9606.ENSP00000481321
A8MQ03	9606.ENSP00000386453
A8MQ27	9606.ENSP00000358815
A8MT69	9606.ENSP00000464357
A8MTA8	9606.ENSP00000382646
A8MTJ3	9606.ENSP00000381339
A8MTJ6	9606.ENSP00000478384
A8MTQ0	9606.ENSP00000381486
A8MU46	9606.ENSP00000432651
A8MUP2	9606.ENSP00000431287
A8MV65	9606.ENSP00000381436
A8MVW5	9606.ENSP00000390204
A8MW92	9606.ENSP00000378784
A8MW95	9606.ENSP00000488361
A8MW99	9606.ENSP00000473370
A8MXD5	9606.ENSP00000382670
A8MXV4	9606.ENSP00000380251
A8MYU2	9606.ENSP00000382770
A8MZ59	9606.ENSP00000380053
A8TX70	9606.ENSP00000265379
A9QM74	9606.ENSP00000330878
A9UHW6	9606.ENSP00000463334
A9YTQ3	9606.ENSP00000323816
B0I1T2	9606.ENSP00000258787
B0YJ81	9606.ENSP00000355308
B1AK53	9606.ENSP00000496593
