Drug	Target
D00043	ACHE [HSA:43] [KO:K01049]
	BCHE [HSA:590] [KO:K01050]
D00045	ADORA [HSA:134 135 136 140] [KO:K04265 K04266 K04267 K04268]
D00058	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
	GABBR [HSA:2550 9568] [KO:K04615]
D00059	DRD [HSA:1812 1813 1814 1815 1816] [KO:K04144 K04145 K04146 K04147 K05840]
D00063	50S ribosomal subunit
	30S ribosomal subunit
D00064	TRPM8 [HSA:79054] [KO:K04983]
	TRPA1 [HSA:8989] [KO:K04984]
D00066	NR3C3 (PGR) [HSA:5241] [KO:K08556]
D00067	NR3A (ESR) [HSA:2099 2100] [KO:K08550 K08551]
D00073	TYR [HSA:7299] [KO:K00505]
D00075	NR3C4 (AR) [HSA:367] [KO:K08557]
D00076	ADRA1 [HSA:148 147 146] [KO:K04135 K04136 K04137]
	ADRA2 [HSA:150 151 152] [KO:K04138 K04139 K04140]
	ADRB [HSA:153 154 155] [KO:K04141 K04142 K04143]
D00079	PTGER2 [HSA:5732] [KO:K04259]
D00081	PTGFR [HSA:5737] [KO:K04262]
D00085	INSR (CD220) [HSA:3643] [KO:K04527]
D00087	ANPEP (CD13) [HSA:290] [KO:K11140]
D00088	NR3C1 (GR) [HSA:2908] [KO:K05771]
D00089	OXTR [HSA:5021] [KO:K04229]
D00094	PML-RARA [HSA:5371 5914] [KO:K10054 K08527]
	NR1B (RAR) [HSA:5914 5915 5916] [KO:K08527 K08528 K08529]
D00095	ADRA1 [HSA:148 147 146] [KO:K04135 K04136 K04137]
	ADRA2 [HSA:150 151 152] [KO:K04138 K04139 K04140]
	ADRB [HSA:153 154 155] [KO:K04141 K04142 K04143]
D00101	AVPR1 [HSA:552 553] [KO:K04226 K04227]
	AVPR2 [HSA:554] [KO:K04228]
D00104	50S ribosomal subunit
D00105	NR3A (ESR) [HSA:2099 2100] [KO:K08550 K08551]
D00106	PTGIR [HSA:5739] [KO:K04263]
D00107	PPP3C/PPP3R/CHP [HSA:5530 5532 5533 5534 5535 11261 63928] [KO:K04348 K06268 K17610 K17611]
D00109	PTGS1 (COX1) [HSA:5742] [KO:K00509]
	PTGS2 (COX2) [HSA:5743] [KO:K11987]
D00110	SLC6A3 (DAT1) [HSA:6531] [KO:K05036]
	SLC6A4 (HTT) [HSA:6532] [KO:K05037]
	SLC6A2 (NAT1) [HSA:6530] [KO:K05035]
	KCNH2 [HSA:3757] [KO:K04905]
	SCN1A [HSA:6323] [KO:K04833]
	SCN2A [HSA:6326] [KO:K04834]
	SCN3A [HSA:6328] [KO:K04836]
	SCN4A [HSA:6329] [KO:K04837]
	SCN5A [HSA:6331] [KO:K04838]
	SCN8A [HSA:6334] [KO:K04840]
	SCN9A [HSA:6335] [KO:K04841]
	SCN10A [HSA:6336] [KO:K04842]
	SCN11A [HSA:11280] [KO:K04843]
D00112	ATP1A [HSA:476 477 478 480] [KO:K01539]
D00113	CHRM [HSA:1128 1129 1131 1132 1133] [KO:K04129 K04130 K04131 K04132 K04133]
D00116	GCGR [HSA:2642] [KO:K04583]
D00118	PTGS1 (COX1) [HSA:5742] [KO:K00509]
	PTGS2 (COX2) [HSA:5743] [KO:K11987]
D00120	PTGS1 (COX1) [HSA:5742] [KO:K00509]
	PTGS2 (COX2) [HSA:5743] [KO:K11987]
D00122	NR1I1 (VDR) [HSA:7421] [KO:K08539]
D00123	ALDH [HSA:217 219 224] [KO:K00128]
D00124	ADRA1 [HSA:148 147 146] [KO:K04135 K04136 K04137]
	ADRA2 [HSA:150 151 152] [KO:K04138 K04139 K04140]
	ADRB [HSA:153 154 155] [KO:K04141 K04142 K04143]
D00125	TOP2 [HSA:7153 7155] [KO:K03164]
D00126	PTGS1 (COX1) [HSA:5742] [KO:K00509]
	PTGS2 (COX2) [HSA:5743] [KO:K11987]
D00127	PTGS1 (COX1) [HSA:5742] [KO:K00509]
	PTGS2 (COX2) [HSA:5743] [KO:K11987]
D00128	undecaprenyl-diphosphate phosphatase [KO:K06153 K19302]
D00129	NR1I1 (VDR) [HSA:7421] [KO:K08539]
D00130	PTGS2 (COX2) [HSA:5743] [KO:K11987]
D00131	ALDH [HSA:217 219 224] [KO:K00128]
D00132	PTGS1 (COX1) [HSA:5742] [KO:K00509]
	PTGS2 (COX2) [HSA:5743] [KO:K11987]
D00134	fumarate reductase
D00135	50S ribosomal subunit
	30S ribosomal subunit
D00136	DRD2 [HSA:1813] [KO:K04145]
D00138	CHRM [HSA:1128 1129 1131 1132 1133] [KO:K04129 K04130 K04131 K04132 K04133]
D00140	50S ribosomal subunit
D00141	PTGS1 (COX1) [HSA:5742] [KO:K00509]
	PTGS2 (COX2) [HSA:5743] [KO:K11987]
D00142	DHFR [HSA:1719 200895] [KO:K00287]
D00145	dihydrofolate reductase [KO:K13938]
D00146	MC2R [HSA:4158] [KO:K04200]
D00147	CHRM [HSA:1128 1129 1131 1132 1133] [KO:K04129 K04130 K04131 K04132 K04133]
D00150	AGTR1 [HSA:185] [KO:K04166]
	AGTR2 [HSA:186] [KO:K04167]
D00151	PTGS1 (COX1) [HSA:5742] [KO:K00509]
	PTGS2 (COX2) [HSA:5743] [KO:K11987]
D00152	COMT [HSA:1312] [KO:K00545]
D00153	CYP19A1 (ARO) [HSA:1588] [KO:K07434]
D00155	ADA [HSA:100] [KO:K01488]
D00156	HSD11B1 [HSA:3290] [KO:K15680]
D00158	PTGS1 (COX1) [HSA:5742] [KO:K00509]
	PTGS2 (COX2) [HSA:5743] [KO:K11987]
D00160	PLG [HSA:5340] [KO:K01315]
D00161	HPRT1 [HSA:3251] [KO:K00760]
D00163	NR1H4 (FXR) [HSA:9971] [KO:K08537]
D00164	NR1B (RAR) [HSA:5914 5915 5916] [KO:K08527 K08528 K08529]
D00165	NR3C1 (GR) [HSA:2908] [KO:K05771]
D00168	DNA polymerase
D00169	PTGS1 (COX1) [HSA:5742] [KO:K00509]
	PTGS2 (COX2) [HSA:5743] [KO:K11987]
D00176	TRHR [HSA:7201] [KO:K04282]
D00180	PTGER1 [HSA:5731] [KO:K04258]
D00181	F2 [HSA:2147] [KO:K01313]
D00182	NR3C3 (PGR) [HSA:5241] [KO:K08556]
D00183	DNA gyrase [KO:K02469 K02470]
D00184	PPP3C/PPP3R/CHP [HSA:5530 5532 5533 5534 5535 11261 63928] [KO:K04348 K06268 K17610 K17611]
D00185	NR3A (ESR) [HSA:2099 2100] [KO:K08550 K08551]
D00186	DNA gyrase [KO:K02469 K02470]
D00187	NR1I1 (VDR) [HSA:7421] [KO:K08539]
D00188	NR1I1 (VDR) [HSA:7421] [KO:K08539]
D00193	CHRM3 [HSA:1131] [KO:K04131]
