From	To
A0A087X1C5	hsa:1564
A0A0B4J2F0	hsa:101928527
A0A0B4J2F2	hsa:102724428
A0A0K2S4Q6	hsa:100130520
A0A0U1RRE5	hsa:550643
A0AV02	hsa:84561
A0AV96	hsa:54502
A0AVF1	hsa:79989
A0AVI4	hsa:92305
A0AVK6	hsa:79733
A0AVT1	hsa:55236
A0FGR8	hsa:57488
A0FGR9	hsa:83850
A0JLT2	hsa:219541
A0JNW5	hsa:23074
A0JP26	hsa:102724631
A0MZ66	hsa:57698
A0PJK1	hsa:125206
A0PJY2	hsa:389549
A0PK00	hsa:144404
A0PK11	hsa:645104
A1A4S6	hsa:79658
A1A4Y4	hsa:345611
A1A519	hsa:340069
A1A5B4	hsa:338440
A1A5C7	hsa:63027
A1E959	hsa:54959
A1KXE4	hsa:130074
A1KZ92	hsa:137902
A1L0T0	hsa:10994
A1L167	hsa:134111
A1L190	hsa:644186
A1L390	hsa:26030
A1L3X0	hsa:79993
A1L4H1	hsa:284297
A1L4K1	hsa:123722
A1X283	hsa:285590
A1XBS5	hsa:137392
A1Z1Q3	hsa:140733
A2A288	hsa:340152
A2A2Y4	hsa:257019
A2IDD5	hsa:124093
A2PYH4	hsa:164045
A2RRP1	hsa:51594
A2RTX5	hsa:123283
A2RU14	hsa:219854
A2RU30	hsa:9840
A2RU49	hsa:123688
A2RUB1	hsa:284071
A2RUB6	hsa:285331
A2RUC4	hsa:129450
A2RUH7	hsa:343263
A2VDJ0	hsa:23240
A3KMH1	hsa:23078
A4D0S4	hsa:22798
A4D126	hsa:729920
A4D161	hsa:340277
A4D1B5	hsa:54103
A4D1E9	hsa:85865
A4D1P6	hsa:29062
A4D1T9	hsa:136242
A4D2B0	hsa:255374
A4GXA9	hsa:197342
A4UGR9	hsa:129446
A5A3E0	hsa:728378
A5D8T8	hsa:348174
A5D8V6	hsa:55048
A5D8V7	hsa:115948
A5D8W1	hsa:79846
A5LHX3	hsa:122706
A5PKW4	hsa:5662
A5PLL7	hsa:387521
A5PLL7	hsa:387522
