Uniprot_id,Category
A0AVT1,Enzymes
A1L3X0,Enzymes
A1Z1Q3,Enzymes
A5LHX3,Enzymes
O00141,Enzymes
O00142,Enzymes
O00148,Enzymes
O00167,Enzymes
O00187,Enzymes
O00217,Enzymes
O00238,Enzymes
O00311,Enzymes
O00329,Enzymes
O00408,Enzymes
O00411,Enzymes
O00418,Enzymes
O00429,Enzymes
O00443,Enzymes
O00444,Enzymes
O00506,Enzymes
O00571,Enzymes
O00625,Enzymes
O00746,Enzymes
O00748,Enzymes
O00750,Enzymes
O00754,Enzymes
O00763,Enzymes
O00764,Enzymes
O00767,Enzymes
O14578,Enzymes
O14638,Enzymes
O14672,Enzymes
O14684,Enzymes
O14686,Enzymes
O14730,Enzymes
O14733,Enzymes
O14744,Enzymes
O14746,Enzymes
O14757,Enzymes
O14818,Enzymes
O14874,Enzymes
O14920,Enzymes
O14936,Enzymes
O14939,Enzymes
O14965,Enzymes
O14976,Enzymes
O14983,Enzymes
O14986,Enzymes
O15054,Enzymes
O15075,Enzymes
O15111,Enzymes
O15120,Enzymes
O15121,Enzymes
O15146,Enzymes
O15164,Enzymes
O15197,Enzymes
O15228,Enzymes
O15229,Enzymes
O15254,Enzymes
O15264,Enzymes
O15269,Enzymes
O15270,Enzymes
O15294,Enzymes
O15296,Enzymes
O15297,Enzymes
O15305,Enzymes
O15355,Enzymes
O15357,Enzymes
O15379,Enzymes
O15382,Enzymes
O15393,Enzymes
O15496,Enzymes
O15527,Enzymes
O15528,Enzymes
O15530,Enzymes
O15550,Enzymes
O43148,Enzymes
O43151,Enzymes
O43175,Enzymes
O43283,Enzymes
O43293,Enzymes
O43306,Enzymes
O43318,Enzymes
O43353,Enzymes
O43447,Enzymes
O43451,Enzymes
O43463,Enzymes
O43464,Enzymes
O43570,Enzymes
O43683,Enzymes
O43865,Enzymes
O60218,Enzymes
O60259,Enzymes
O60260,Enzymes
O60266,Enzymes
O60282,Enzymes
O60285,Enzymes
O60313,Enzymes
O60331,Enzymes
O60341,Enzymes
O60427,Enzymes
O60488,Enzymes
O60502,Enzymes
O60503,Enzymes
O60551,Enzymes
O60656,Enzymes
O60658,Enzymes
O60671,Enzymes
O60674,Enzymes
O60678,Enzymes
O60704,Enzymes
O60725,Enzymes
O60733,Enzymes
O60760,Enzymes
O60825,Enzymes
O60906,Enzymes
O60911,Enzymes
O75106,Enzymes
O75116,Enzymes
O75164,Enzymes
O75173,Enzymes
O75251,Enzymes
O75306,Enzymes
O75355,Enzymes
O75365,Enzymes
O75385,Enzymes
O75417,Enzymes
O75460,Enzymes
O75489,Enzymes
O75582,Enzymes
O75604,Enzymes
O75608,Enzymes
O75643,Enzymes
O75676,Enzymes
O75688,Enzymes
O75747,Enzymes
O75795,Enzymes
O75874,Enzymes
O75907,Enzymes
