"ChEMBL ID"	"Name"	"UniProt Accessions"	"Type"	"Organism"	"Compounds"	"Activities"	"Tax ID"	"Species Group Flag"
"CHEMBL4630758"	"5-hydroxytryptamine receptor 2A/Metabotropic glutamate receptor 2"	"P28223|Q14416"	"PROTEIN COMPLEX"	"Homo sapiens"	"17"	"187"	"9606"	"False"
"CHEMBL5482994"	"GPR40-Galpha16"	"O14842|P30679"	"PROTEIN COMPLEX"	"Homo sapiens"	"4"	"7"	"9606"	"False"
"CHEMBL5968"	"Lysophosphatidic acid receptor 4"	"Q99677"	"SINGLE PROTEIN"	"Homo sapiens"	"45"	"75"	"9606"	"False"
"CHEMBL2097165"	"Dopamine receptors; D3 & D4"	"P35462|P21917"	"SELECTIVITY GROUP"	"Homo sapiens"	"270"	"312"	"9606"	"False"
"CHEMBL5850"	"Mas-related G-protein coupled receptor member X1"	"Q96LB2"	"SINGLE PROTEIN"	"Homo sapiens"	"198"	"366"	"9606"	"False"
"CHEMBL4894"	"Galanin receptor 1"	"P47211"	"SINGLE PROTEIN"	"Homo sapiens"	"155"	"254"	"9606"	"False"
"CHEMBL4105836"	"Parathyroid hormone 2 receptor"	"P49190"	"SINGLE PROTEIN"	"Homo sapiens"	"2"	"3"	"9606"	"False"
"CHEMBL4596"	"C-C chemokine receptor type 8"	"P51685"	"SINGLE PROTEIN"	"Homo sapiens"	"292"	"392"	"9606"	"False"
"CHEMBL3721312"	"Olfactory receptor 5K1"	"Q8NHB7"	"SINGLE PROTEIN"	"Homo sapiens"	"56"	"56"	"9606"	"False"
"CHEMBL2096676"	"Adrenergic receptors; alpha-1 A & B"	"P35348|P35368"	"SELECTIVITY GROUP"	"Homo sapiens"	"210"	"290"	"9606"	"False"
"CHEMBL4339"	"Chemokine XC receptor 1"	"P46094"	"SINGLE PROTEIN"	"Homo sapiens"	"1"	"1"	"9606"	"False"
"CHEMBL2096974"	"Adrenergic receptor beta; ADRB1 & ADRB2"	"P08588|P07550"	"SELECTIVITY GROUP"	"Homo sapiens"	"189"	"240"	"9606"	"False"
"CHEMBL3399910"	"Probable G-protein coupled receptor 88"	"Q9GZN0"	"SINGLE PROTEIN"	"Homo sapiens"	"408"	"792"	"9606"	"False"
"CHEMBL2095234"	"Adenosine receptors; A2b & A3"	"P29275|P0DMS8"	"SELECTIVITY GROUP"	"Homo sapiens"	"310"	"335"	"9606"	"False"
"CHEMBL3832642"	"T1R2/T1R3"	"Q8TE23|Q7RTX0"	"PROTEIN COMPLEX"	"Homo sapiens"	"179"	"282"	"9606"	"False"
"CHEMBL5849"	"Mas-related G-protein coupled receptor member X2"	"Q96LB1"	"SINGLE PROTEIN"	"Homo sapiens"	"42"	"67"	"9606"	"False"
"CHEMBL1942"	"Alpha-2b adrenergic receptor"	"P18089"	"SINGLE PROTEIN"	"Homo sapiens"	"2744"	"4708"	"9606"	"False"
"CHEMBL4069"	"Corticotropin releasing factor receptor 2"	"Q13324"	"SINGLE PROTEIN"	"Homo sapiens"	"380"	"399"	"9606"	"False"
"CHEMBL3228"	"Metabotropic glutamate receptor 8"	"O00222"	"SINGLE PROTEIN"	"Homo sapiens"	"283"	"363"	"9606"	"False"
"CHEMBL4523914"	"G-protein coupled receptor 22"	"Q99680"	"SINGLE PROTEIN"	"Homo sapiens"	"1"	"1"	"9606"	"False"
"CHEMBL5339"	"G-protein coupled receptor 120"	"Q5NUL3"	"SINGLE PROTEIN"	"Homo sapiens"	"1161"	"3044"	"9606"	"False"
"CHEMBL4523868"	"Probable G-protein coupled receptor 85"	"P60893"	"SINGLE PROTEIN"	"Homo sapiens"	"1"	"1"	"9606"	"False"
"CHEMBL3297639"	"Probable G-protein coupled receptor 52"	"Q9Y2T5"	"SINGLE PROTEIN"	"Homo sapiens"	"340"	"435"	"9606"	"False"
"CHEMBL2094254"	"Cysteinyl leukotriene receptor"	"Q9Y271|Q9NS75"	"PROTEIN FAMILY"	"Homo sapiens"	"826"	"1147"	"9606"	"False"
"CHEMBL4524011"	"P2Y receptor"	"Q9H244|P51582|P47900|P41231|Q15391|Q15077|Q96G91|Q9BPV8"	"PROTEIN FAMILY"	"Homo sapiens"	"4"	"4"	"9606"	"False"
"CHEMBL2182"	"Serotonin 1e (5-HT1e) receptor"	"P28566"	"SINGLE PROTEIN"	"Homo sapiens"	"825"	"890"	"9606"	"False"
"CHEMBL5169080"	"CRBN/ADORA1"	"P30542|Q96SW2"	"PROTEIN-PROTEIN INTERACTION"	"Homo sapiens"	"1"	"2"	"9606"	"False"
"CHEMBL1075101"	"G-protein coupled receptor 81"	"Q9BXC0"	"SINGLE PROTEIN"	"Homo sapiens"	"235"	"382"	"9606"	"False"
"CHEMBL5144"	"Vasoactive intestinal polypeptide receptor 1"	"P32241"	"SINGLE PROTEIN"	"Homo sapiens"	"1004"	"1906"	"9606"	"False"
"CHEMBL4761"	"C3a anaphylatoxin chemotactic receptor"	"Q16581"	"SINGLE PROTEIN"	"Homo sapiens"	"284"	"762"	"9606"	"False"
