Uniprot_id,KEGG,family
A5X5Y0,hsa:285242,hsa00001
A5X5Y0,hsa:285242,hsa04040
A5X5Y0,hsa:285242,hsa04040
A8MPY1,hsa:200959,hsa00001
A8MPY1,hsa:200959,hsa04040
A8MPY1,hsa:200959,hsa04040
O00142,hsa:7084,hsa00001
O00142,hsa:7084,hsa01000
O00180,hsa:3775,hsa00001
O00180,hsa:3775,hsa04040
O00180,hsa:3775,hsa04040
O00204,hsa:6820,hsa01000
O00206,hsa:7099,hsa00001
O00206,hsa:7099,hsa04131
O00206,hsa:7099,hsa04054
O00206,hsa:7099,hsa04090
O00206,hsa:7099,hsa00536
O00206,hsa:7099,hsa04131
O00206,hsa:7099,hsa04054
O00206,hsa:7099,hsa04090
O00206,hsa:7099,hsa00536
O00222,hsa:2918,hsa00001
O00222,hsa:2918,hsa01009
O00222,hsa:2918,hsa04030
O00222,hsa:2918,hsa01009
O00222,hsa:2918,hsa04030
O00238,hsa:658,hsa00001
O00238,hsa:658,hsa01001
O00238,hsa:658,hsa04090
O00238,hsa:658,hsa01000
O00238,hsa:658,hsa01001
O00238,hsa:658,hsa04090
O00264,hsa:10857,hsa00001
O00264,hsa:10857,hsa04147
O00264,hsa:10857,hsa04147
O00303,hsa:8665,hsa00001
O00303,hsa:8665,hsa03012
O00303,hsa:8665,hsa04147
O00303,hsa:8665,hsa03012
O00303,hsa:8665,hsa04147
O00305,hsa:785,hsa00001
O00305,hsa:785,hsa04040
O00305,hsa:785,hsa04040
O00329,hsa:5293,hsa00001
O00329,hsa:5293,hsa04131
O00329,hsa:5293,hsa01000
O00329,hsa:5293,hsa04131
O00408,hsa:5138,hsa00001
O00408,hsa:5138,hsa01000
O00444,hsa:10733,hsa00001
O00444,hsa:10733,hsa01001
O00444,hsa:10733,hsa03036
O00444,hsa:10733,hsa01000
O00444,hsa:10733,hsa01001
O00444,hsa:10733,hsa03036
O00469,hsa:5352,hsa00001
O00469,hsa:5352,hsa01000
O00555,hsa:773,hsa00001
O00555,hsa:773,hsa04040
O00555,hsa:773,hsa04040
O00591,hsa:2568,hsa00001
O00591,hsa:2568,hsa04040
O00591,hsa:2568,hsa04040
O00750,hsa:5287,hsa00001
O00750,hsa:5287,hsa01000
O00763,hsa:32,hsa00001
O00763,hsa:32,hsa01000
O00764,hsa:8566,hsa00001
O00764,hsa:8566,hsa01000
O14556,hsa:26330,hsa00001
O14556,hsa:26330,hsa01000
O14578,hsa:11113,hsa00001
O14578,hsa:11113,hsa01001
O14578,hsa:11113,hsa01000
O14578,hsa:11113,hsa01001
O14618,hsa:9973,hsa00001
O14649,hsa:3777,hsa00001
O14649,hsa:3777,hsa04040
O14649,hsa:3777,hsa04040
O14730,hsa:8780,hsa00001
O14730,hsa:8780,hsa01001
O14730,hsa:8780,hsa01000
O14730,hsa:8780,hsa01001
O14732,hsa:3613,hsa00001
O14732,hsa:3613,hsa01000
O14746,hsa:7015,hsa00001
O14746,hsa:7015,hsa03032
O14746,hsa:7015,hsa01000
O14746,hsa:7015,hsa03032
O14757,hsa:1111,hsa00001
O14757,hsa:1111,hsa01001
O14757,hsa:1111,hsa03400
O14757,hsa:1111,hsa01000
