"ChEMBL ID";"Name";"UniProt Accessions";"Type";"Organism";"Compounds";"Activities";"Tax ID";"Species Group Flag"
"CHEMBL4630763";"Sodium channel protein type 5 subunit alpha/beta-1/beta-2";"Q14524|O60939|Q07699";"PROTEIN COMPLEX";"Homo sapiens";"19";"20";"9606";"False"
"CHEMBL613106";"A121";"";"CELL-LINE";"Homo sapiens";"102";"119";"9606";"False"
"CHEMBL614870";"Spermatozoa";"";"CELL-LINE";"";"133";"179";"";"False"
"CHEMBL2403";"Thioredoxin reductase 2";"Q9NNW7";"SINGLE PROTEIN";"Homo sapiens";"1";"4";"9606";"False"
"CHEMBL612648";"Fusarium oxysporum";"";"ORGANISM";"Fusarium oxysporum";"2124";"3960";"5507";"False"
"CHEMBL4513121";"A375-SM";"";"CELL-LINE";"Homo sapiens";"3";"8";"9606";"False"
"CHEMBL3784911";"Receptor-interacting serine/threonine-protein kinase 1";"Q60855";"SINGLE PROTEIN";"Mus musculus";"67";"192";"10090";"False"
"CHEMBL4296385";"HCC44";"";"CELL-LINE";"Homo sapiens";"27";"28";"9606";"False"
"CHEMBL614653";"MAR BEL fibroblasts cell line";"";"CELL-LINE";"Homo sapiens";"7";"7";"9606";"False"
"CHEMBL3586";"DNA topoisomerase II alpha";"Q01320";"SINGLE PROTEIN";"Mus musculus";"25";"26";"10090";"False"
"CHEMBL614652";"Lymphocytic cell line";"";"CELL-LINE";"";"18";"19";"";"False"
"CHEMBL4296462";"LS180";"";"CELL-LINE";"Homo sapiens";"58";"114";"9606";"False"
"CHEMBL3885610";"Neuronal acetylcholine receptor subunit alpha-4/alpha-6/beta-2/beta-3";"Q9ERK7|O70174|Q9R0W9|Q8BMN3";"PROTEIN COMPLEX";"Mus musculus";"12";"22";"10090";"False"
"CHEMBL4523233";"Transcriptional repressor CTCF";"P49711";"SINGLE PROTEIN";"Homo sapiens";"1";"1";"9606";"False"
"CHEMBL4296467";"MDCK-MDR1";"";"CELL-LINE";"Canis lupus familiaris";"107";"143";"9615";"False"
"CHEMBL3603730";"Sialic acid-binding Ig-like lectin 7";"Q9Y286";"SINGLE PROTEIN";"Homo sapiens";"62";"83";"9606";"False"
"CHEMBL4296469";"MEB5";"";"CELL-LINE";"Mus musculus";"5";"13";"10090";"False"
"CHEMBL4483268";"SU-DHL10";"";"CELL-LINE";"Homo sapiens";"80";"107";"9606";"False"
"CHEMBL4296452";"KCL-22";"";"CELL-LINE";"Homo sapiens";"134";"265";"9606";"False"
"CHEMBL613558";"Encephalomyocarditis virus";"";"ORGANISM";"Encephalomyocarditis virus";"88";"289";"12104";"False"
"CHEMBL3885592";"Histone deacetylase complex subunit SAP130/Splicing factor 3B subunit 1/Splicing factor 3B subunit 2";"Q13435|Q9H0E3|O75533";"PROTEIN COMPLEX";"Homo sapiens";"3";"4";"9606";"False"
"CHEMBL2366279";"SNU-C2B";"";"CELL-LINE";"Homo sapiens";"123";"124";"9606";"False"
"CHEMBL614249";"WEHI3B";"";"CELL-LINE";"Mus musculus";"6";"6";"10090";"False"
"CHEMBL3038455";"AMPK alpha2/beta1/gamma1";"P54646|P54619|Q9Y478";"PROTEIN COMPLEX";"Homo sapiens";"139";"210";"9606";"False"
"CHEMBL613397";"Blood";"";"TISSUE";"Saimiri sciureus";"5";"6";"9521";"False"
"CHEMBL1795185";"Bromodomain testis-specific protein";"Q58F21";"SINGLE PROTEIN";"Homo sapiens";"278";"549";"9606";"False"
"CHEMBL1649053";"Antigen-presenting glycoprotein CD1d";"P15813";"SINGLE PROTEIN";"Homo sapiens";"17";"67";"9606";"False"
"CHEMBL613981";"HXO-RB44 cell line";"";"CELL-LINE";"Homo sapiens";"8";"30";"9606";"False"
"CHEMBL614593";"Serratia marcescens";"";"ORGANISM";"Serratia marcescens";"1920";"3167";"615";"False"
"CHEMBL4523624";"Fibroblast growth factor 14/SCN8A";"Q9UQD0|Q92915";"PROTEIN-PROTEIN INTERACTION";"Homo sapiens";"8";"21";"9606";"False"
"CHEMBL2367293";"Ostrinia furnacalis";"";"ORGANISM";"Ostrinia furnacalis";"15";"26";"93504";"False"
"CHEMBL3085621";"Nucleosome-remodeling factor subunit BPTF";"Q12830";"SINGLE PROTEIN";"Homo sapiens";"116";"190";"9606";"False"
"CHEMBL4523687";"Protein cereblon/BRAF";"P15056|Q96SW2";"PROTEIN-PROTEIN INTERACTION";"Homo sapiens";"2";"4";"9606";"False"
"CHEMBL5577";"Galanin receptor 2";"O08726";"SINGLE PROTEIN";"Rattus norvegicus";"14";"14";"10116";"False"
"CHEMBL613159";"Toxoplasma gondii RH";"";"ORGANISM";"Toxoplasma gondii RH";"216";"814";"383379";"False"
"CHEMBL1075501";"MEL-JUSO";"";"CELL-LINE";"Homo sapiens";"113";"127";"9606";"False"
"CHEMBL6119";"40S ribosomal protein SA";"P08865";"SINGLE PROTEIN";"Homo sapiens";"17";"34";"9606";"False"
"CHEMBL2367397";"Jejunum";"";"TISSUE";"Oryctolagus cuniculus";"15";"26";"9986";"False"
"CHEMBL3509589";"Cytochrome P450 4F12";"Q9HCS2";"SINGLE PROTEIN";"Homo sapiens";"14";"21";"9606";"False"
"CHEMBL1075149";"Cystine/glutamate transporter";"Q9UPY5";"SINGLE PROTEIN";"Homo sapiens";"110";"150";"9606";"False"
"CHEMBL1075384";"647-V";"";"CELL-LINE";"Homo sapiens";"114";"116";"9606";"False"
"CHEMBL2366132";"LU-165";"";"CELL-LINE";"Homo sapiens";"77";"78";"9606";"False"
"CHEMBL5486";"Insulin receptor";"P15127";"SINGLE PROTEIN";"Rattus norvegicus";"878";"1749";"10116";"False"
"CHEMBL2366357";"MPP-89";"";"CELL-LINE";"Homo sapiens";"137";"139";"9606";"False"
"CHEMBL1075397";"BFTC-909";"";"CELL-LINE";"Homo sapiens";"108";"110";"9606";"False"
"CHEMBL2597";"Tubulin beta-3 chain";"Q13509";"SINGLE PROTEIN";"Homo sapiens";"16";"22";"9606";"False"
"CHEMBL2366278";"TE-12";"";"CELL-LINE";"Homo sapiens";"129";"130";"9606";"False"
"CHEMBL614381";"CC-B";"";"CELL-LINE";"";"14";"14";"";"False"
