"ChEMBL ID"	"Name"	"UniProt Accessions"	"Type"	"Organism"	"Compounds"	"Activities"	"Tax ID"	"Species Group Flag"
"CHEMBL3430874"	"Beta-ureidopropionase"	"Q9UBR1"	"SINGLE PROTEIN"	"Homo sapiens"	""	""	"9606"	"False"
"CHEMBL3542437"	"Putative cytochrome P450 2D7"	"A0A087X1C5"	"SINGLE PROTEIN"	"Homo sapiens"	""	""	"9606"	"False"
"CHEMBL3542438"	"Uridine-cytidine kinase"	"Q9BZX2|Q9HA47"	"PROTEIN FAMILY"	"Homo sapiens"	""	""	"9606"	"False"
"CHEMBL3542433"	"Phenol sulfotransferase"	"P50225|P50226|P0DMM9"	"PROTEIN FAMILY"	"Homo sapiens"	""	""	"9606"	"False"
"CHEMBL2406900"	"Ubiquitin carboxyl-terminal hydrolase 4"	"Q13107"	"SINGLE PROTEIN"	"Homo sapiens"	"11"	"12"	"9606"	"False"
"CHEMBL1075105"	"Protein tyrosine phosphatase type IVA 2"	"Q12974"	"SINGLE PROTEIN"	"Homo sapiens"	"32"	"37"	"9606"	"False"
"CHEMBL3627584"	"Mitogen-activated protein kinase kinase kinase MLK4"	"Q5TCX8"	"SINGLE PROTEIN"	"Homo sapiens"	"35"	"45"	"9606"	"False"
"CHEMBL5169179"	"tRNA (cytosine(72)-C(5))-methyltransferase NSUN6"	"Q8TEA1"	"SINGLE PROTEIN"	"Homo sapiens"	"10"	"10"	"9606"	"False"
"CHEMBL4523354"	"Nicotinate phosphoribosyltransferase"	"Q6XQN6"	"SINGLE PROTEIN"	"Homo sapiens"	"22"	"37"	"9606"	"False"
"CHEMBL4106152"	"CDK2/Cyclin O"	"P24941|P22674"	"PROTEIN COMPLEX"	"Homo sapiens"	"21"	"25"	"9606"	"False"
"CHEMBL3325306"	"Peptidyl-prolyl cis-trans isomerase F, mitochondrial"	"P30405"	"SINGLE PROTEIN"	"Homo sapiens"	"5"	"5"	"9606"	"False"
"CHEMBL4105989"	"Lysyl oxidase homolog 3"	"P58215"	"SINGLE PROTEIN"	"Homo sapiens"	"29"	"44"	"9606"	"False"
"CHEMBL3038486"	"IKK epsilon/TBK1"	"Q14164|Q9UHD2"	"PROTEIN COMPLEX"	"Homo sapiens"	"53"	"53"	"9606"	"False"
"CHEMBL3308923"	"Proteasome subunit beta type-3"	"P49720"	"SINGLE PROTEIN"	"Homo sapiens"	"8"	"72"	"9606"	"False"
"CHEMBL4232"	"Spermidine synthase"	"P19623"	"SINGLE PROTEIN"	"Homo sapiens"	"14"	"17"	"9606"	"False"
"CHEMBL4523117"	"Sulfhydryl oxidase 1"	"O00391"	"SINGLE PROTEIN"	"Homo sapiens"	"5"	"7"	"9606"	"False"
"CHEMBL4050"	"FK506 binding protein 4"	"Q02790"	"SINGLE PROTEIN"	"Homo sapiens"	"225"	"279"	"9606"	"False"
"CHEMBL3269"	"Galactoside 3(4)-L-fucosyltransferase"	"P21217"	"SINGLE PROTEIN"	"Homo sapiens"	"5"	"5"	"9606"	"False"
"CHEMBL5641"	"V-type proton ATPase subunit B, brain isoform"	"P21281"	"SINGLE PROTEIN"	"Homo sapiens"	"2"	"3"	"9606"	"False"
"CHEMBL4185"	"Xaa-Pro dipeptidase"	"P12955"	"SINGLE PROTEIN"	"Homo sapiens"	"114"	"143"	"9606"	"False"
"CHEMBL4523700"	"Protein cereblon/Cyclin-dependent kinase 6"	"Q00534|Q96SW2"	"PROTEIN-PROTEIN INTERACTION"	"Homo sapiens"	"51"	"124"	"9606"	"False"
"CHEMBL4523985"	"UDP-glucuronosyltransferases (UGTs)"	"P22310|P16662|O75795|P36537|P54855|Q9BY64|P06133|O60656|Q9HAW8|P0DTE4|P22309|P19224|Q9HAW7|Q9HAW9|P35503|P35504|Q6UWM9|O75310|P0DTE5"	"PROTEIN FAMILY"	"Homo sapiens"	"30"	"68"	"9606"	"False"
"CHEMBL3578"	"Aldehyde dehydrogenase dimeric NADP-preferring"	"P30838"	"SINGLE PROTEIN"	"Homo sapiens"	"187"	"312"	"9606"	"False"
"CHEMBL5465204"	"Cereblon/Serine/threonine-protein kinase GAK"	"O14976|Q96SW2"	"PROTEIN-PROTEIN INTERACTION"	"Homo sapiens"	"1"	"1"	"9606"	"False"
"CHEMBL4523398"	"Prolyl 3-hydroxylase OGFOD1"	"Q8N543"	"SINGLE PROTEIN"	"Homo sapiens"	"5"	"5"	"9606"	"False"
"CHEMBL1250343"	"Serine palmitoyltransferase 1"	"O15269"	"SINGLE PROTEIN"	"Homo sapiens"	"4"	"9"	"9606"	"False"
"CHEMBL3714412"	"Toll-like receptor 1"	"Q15399"	"SINGLE PROTEIN"	"Homo sapiens"	"5"	"5"	"9606"	"False"
"CHEMBL4630858"	"Ubiquitin carboxyl-terminal hydrolase CYLD"	"Q9NQC7"	"SINGLE PROTEIN"	"Homo sapiens"	"5"	"5"	"9606"	"False"
"CHEMBL4523407"	"Minor histocompatibility antigen H13"	"Q8TCT9"	"SINGLE PROTEIN"	"Homo sapiens"	"2"	"4"	"9606"	"False"
"CHEMBL3213"	"Calcium-independent phospholipase A2"	"O60733"	"SINGLE PROTEIN"	"Homo sapiens"	"183"	"359"	"9606"	"False"
"CHEMBL4106171"	"Superoxide dismutase 1/2"	"P00441|P04179"	"PROTEIN FAMILY"	"Homo sapiens"	"13"	"13"	"9606"	"False"
"CHEMBL2457"	"Arachidonate 15-lipoxygenase, type II"	"O15296"	"SINGLE PROTEIN"	"Homo sapiens"	"7035"	"7244"	"9606"	"False"
"CHEMBL2317"	"NADH-ubiquinone oxidoreductase MLRQ subunit"	"O00483"	"SINGLE PROTEIN"	"Homo sapiens"	"2"	"4"	"9606"	"False"
"CHEMBL3200"	"Sialidase 2"	"Q9Y3R4"	"SINGLE PROTEIN"	"Homo sapiens"	"233"	"382"	"9606"	"False"
"CHEMBL3430900"	"Interferon-induced guanylate-binding protein 1/Serine/threonine-protein kinase pim-1"	"P11309|P32455"	"PROTEIN-PROTEIN INTERACTION"	"Homo sapiens"	"44"	"47"	"9606"	"False"
"CHEMBL5861"	"G protein-coupled receptor kinase 4"	"P32298"	"SINGLE PROTEIN"	"Homo sapiens"	"299"	"330"	"9606"	"False"
"CHEMBL4742280"	"Cereblon/Serine/threonine-protein kinase PLK1"	"P53350|Q96SW2"	"PROTEIN-PROTEIN INTERACTION"	"Homo sapiens"	"1"	"1"	"9606"	"False"
"CHEMBL4295812"	"Peroxiredoxin-4"	"Q13162"	"SINGLE PROTEIN"	"Homo sapiens"	"1"	"2"	"9606"	"False"
"CHEMBL4295759"	"Trifunctional enzyme subunit alpha, mitochondrial"	"P40939"	"SINGLE PROTEIN"	"Homo sapiens"	"2"	"3"	"9606"	"False"
"CHEMBL2343"	"Serine/threonine-protein kinase Sgk1"	"O00141"	"SINGLE PROTEIN"	"Homo sapiens"	"1490"	"2388"	"9606"	"False"
"CHEMBL5794"	"Serine/threonine-protein kinase Sgk2"	"Q9HBY8"	"SINGLE PROTEIN"	"Homo sapiens"	"1506"	"2096"	"9606"	"False"
"CHEMBL5579"	"Citron Rho-interacting kinase"	"O14578"	"SINGLE PROTEIN"	"Homo sapiens"	"491"	"607"	"9606"	"False"
"CHEMBL3879836"	"Ras-related protein Rab-7L1"	"O14966"	"SINGLE PROTEIN"	"Homo sapiens"	"4"	"5"	"9606"	"False"
"CHEMBL3774298"	"Histone acetyltransferase KAT6A"	"Q92794"	"SINGLE PROTEIN"	"Homo sapiens"	"269"	"323"	"9606"	"False"
"CHEMBL2147"	"Serine/threonine-protein kinase PIM1"	"P11309"	"SINGLE PROTEIN"	"Homo sapiens"	"7413"	"9755"	"9606"	"False"
"CHEMBL3038472"	"CDK4/Cyclin D3"	"P11802|P30281"	"PROTEIN COMPLEX"	"Homo sapiens"	"610"	"720"	"9606"	"False"
"CHEMBL3038474"	"CDK8/Cyclin C"	"P49336|P24863"	"PROTEIN COMPLEX"	"Homo sapiens"	"933"	"1148"	"9606"	"False"
"CHEMBL4295689"	"Diphosphoinositol polyphosphate phosphohydrolase 1"	"O95989"	"SINGLE PROTEIN"	"Homo sapiens"	"5"	"15"	"9606"	"False"
"CHEMBL4763"	"Serine/threonine protein phosphatase 2A, 56 kDa regulatory subunit, alpha isoform"	"Q15172"	"SINGLE PROTEIN"	"Homo sapiens"	"8"	"8"	"9606"	"False"
"CHEMBL5169147"	"ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2"	"Q10588"	"SINGLE PROTEIN"	"Homo sapiens"	"1"	"1"	"9606"	"False"
"CHEMBL5604"	"Dual specificity testis-specific protein kinase 1"	"Q15569"	"SINGLE PROTEIN"	"Homo sapiens"	"468"	"576"	"9606"	"False"
"CHEMBL5172"	"Endo-beta-N-acetylglucosaminidase"	"Q8NFI3"	"SINGLE PROTEIN"	"Homo sapiens"	"51"	"63"	"9606"	"False"
"CHEMBL3962"	"Kynurenine--oxoglutarate transaminase I"	"Q16773"	"SINGLE PROTEIN"	"Homo sapiens"	"49"	"96"	"9606"	"False"
"CHEMBL5169085"	"CRBN/CDK13"	"Q14004|Q96SW2"	"PROTEIN-PROTEIN INTERACTION"	"Homo sapiens"	"27"	"50"	"9606"	"False"
"CHEMBL3038485"	"Beta-N-acetyl-D-hexosaminidase-A/B"	"P07686|P06865"	"PROTEIN FAMILY"	"Homo sapiens"	"50"	"71"	"9606"	"False"
"CHEMBL4105965"	"Lys-63-specific deubiquitinase BRCC36"	"P46736"	"SINGLE PROTEIN"	"Homo sapiens"	"1"	"1"	"9606"	"False"
"CHEMBL3918"	"Receptor-type tyrosine-protein phosphatase alpha"	"P18433"	"SINGLE PROTEIN"	"Homo sapiens"	"220"	"288"	"9606"	"False"
"CHEMBL3575"	"RNase L"	"Q05823"	"SINGLE PROTEIN"	"Homo sapiens"	"152"	"245"	"9606"	"False"
"CHEMBL3038503"	"p38 delta/gamma"	"O15264|P53778"	"PROTEIN FAMILY"	"Homo sapiens"	"17"	"17"	"9606"	"False"
"CHEMBL3627594"	"Catalase"	"P04040"	"SINGLE PROTEIN"	"Homo sapiens"	"7"	"7"	"9606"	"False"
"CHEMBL2062352"	"Eukaryotic translation initiation factor 3 subunit F"	"O00303"	"SINGLE PROTEIN"	"Homo sapiens"	"1"	"3"	"9606"	"False"
"CHEMBL209"	"Trypsin I"	"P07477"	"SINGLE PROTEIN"	"Homo sapiens"	"2042"	"2308"	"9606"	"False"
"CHEMBL1075102"	"Phosphatidylinositol-4-phosphate 3-kinase C2 domain-containing subunit alpha"	"O00443"	"SINGLE PROTEIN"	"Homo sapiens"	"190"	"218"	"9606"	"False"
"CHEMBL6191"	"SPS1/STE20-related protein kinase YSK4"	"Q56UN5"	"SINGLE PROTEIN"	"Homo sapiens"	"281"	"315"	"9606"	"False"
"CHEMBL5482997"	"VEGFR2-VEGA"	"P15692|P35968"	"PROTEIN COMPLEX"	"Homo sapiens"	"2"	"2"	"9606"	"False"
"CHEMBL290"	"Phosphodiesterase 3B"	"Q13370"	"SINGLE PROTEIN"	"Homo sapiens"	"258"	"312"	"9606"	"False"
"CHEMBL2251"	"PI4-kinase type II"	"Q9BTU6"	"SINGLE PROTEIN"	"Homo sapiens"	"62"	"65"	"9606"	"False"
"CHEMBL1250380"	"Dual specificity protein phosphatase 5"	"Q16690"	"SINGLE PROTEIN"	"Homo sapiens"	"12"	"23"	"9606"	"False"
"CHEMBL3430907"	"Aurora kinase B/Inner centromere protein"	"Q96GD4|Q9NQS7"	"PROTEIN COMPLEX"	"Homo sapiens"	"214"	"233"	"9606"	"False"
"CHEMBL4523644"	"Serine/threonine-protein kinase N1/Transforming protein RhoA"	"Q16512|P61586"	"PROTEIN COMPLEX"	"Homo sapiens"	"1"	"1"	"9606"	"False"
"CHEMBL3885527"	"Thymidylate synthase/AICAR transformylase"	"P04818|P31939"	"PROTEIN FAMILY"	"Homo sapiens"	"5"	"5"	"9606"	"False"
"CHEMBL2097167"	"Adenylate cyclase"	"Q8NFM4|O60503|Q08828|P40145|O60266|O95622|O43306|Q08462|P51828"	"PROTEIN FAMILY"	"Homo sapiens"	"49"	"52"	"9606"	"False"
"CHEMBL4851"	"Serine/threonine-protein kinase 38-like"	"Q9Y2H1"	"SINGLE PROTEIN"	"Homo sapiens"	"434"	"581"	"9606"	"False"
"CHEMBL5037"	"Caspase-10"	"Q92851"	"SINGLE PROTEIN"	"Homo sapiens"	"22"	"24"	"9606"	"False"
"CHEMBL5991"	"Caspase-14"	"P31944"	"SINGLE PROTEIN"	"Homo sapiens"	"7"	"8"	"9606"	"False"
"CHEMBL4105957"	"CCR4-NOT transcription complex subunit 6-like"	"Q96LI5"	"SINGLE PROTEIN"	"Homo sapiens"	"3"	"3"	"9606"	"False"
"CHEMBL3593"	"Lanosterol synthase"	"P48449"	"SINGLE PROTEIN"	"Homo sapiens"	"193"	"305"	"9606"	"False"
"CHEMBL2735"	"DNA polymerase delta subunit 1"	"P28340"	"SINGLE PROTEIN"	"Homo sapiens"	"24"	"26"	"9606"	"False"
"CHEMBL5291570"	"Ceramide synthase 4"	"Q9HA82"	"SINGLE PROTEIN"	"Homo sapiens"	"1"	"1"	"9606"	"False"
"CHEMBL3793"	"Thioredoxin reductase 3"	"Q86VQ6"	"SINGLE PROTEIN"	"Homo sapiens"	"1"	"1"	"9606"	"False"
"CHEMBL5282"	"Cytochrome P450 2A6"	"P11509"	"SINGLE PROTEIN"	"Homo sapiens"	"1356"	"2864"	"9606"	"False"
"CHEMBL3542436"	"Cytochrome P450 2A13"	"Q16696"	"SINGLE PROTEIN"	"Homo sapiens"	"54"	"65"	"9606"	"False"
"CHEMBL4524"	"Serine/threonine-protein kinase PAK7"	"Q9P286"	"SINGLE PROTEIN"	"Homo sapiens"	"1027"	"1765"	"9606"	"False"
"CHEMBL4105963"	"Probable bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase 2"	"Q9H903"	"SINGLE PROTEIN"	"Homo sapiens"	"1"	"1"	"9606"	"False"
"CHEMBL4849"	"Serine/threonine-protein kinase NEK7"	"Q8TDX7"	"SINGLE PROTEIN"	"Homo sapiens"	"1103"	"1851"	"9606"	"False"
"CHEMBL3125"	"Ribosomal protein S6 kinase alpha 4"	"O75676"	"SINGLE PROTEIN"	"Homo sapiens"	"1168"	"2183"	"9606"	"False"
"CHEMBL5483089"	"METTL5-TRM112"	"Q9UI30|Q9NRN9"	"PROTEIN COMPLEX"	"Homo sapiens"	"3"	"3"	"9606"	"False"
"CHEMBL5607"	"Rhodopsin kinase"	"Q15835"	"SINGLE PROTEIN"	"Homo sapiens"	"367"	"390"	"9606"	"False"
"CHEMBL2163167"	"S-methylmethionine--homocysteine S-methyltransferase BHMT2"	"Q9H2M3"	"SINGLE PROTEIN"	"Homo sapiens"	"9"	"11"	"9606"	"False"
"CHEMBL4523619"	"MAPK3/MAPK7"	"P27361|Q13164"	"PROTEIN FAMILY"	"Homo sapiens"	"1"	"1"	"9606"	"False"
"CHEMBL4630849"	"Deubiquitinating protein VCPIP1"	"Q96JH7"	"SINGLE PROTEIN"	"Homo sapiens"	"1"	"1"	"9606"	"False"
"CHEMBL3231"	"Rho-associated protein kinase 1"	"Q13464"	"SINGLE PROTEIN"	"Homo sapiens"	"3690"	"4823"	"9606"	"False"
"CHEMBL5291688"	"VHL/FGFR1"	"P11362|P40337"	"PROTEIN-PROTEIN INTERACTION"	"Homo sapiens"	"6"	"21"	"9606"	"False"
"CHEMBL5990"	"Breast cancer type 1 susceptibility protein"	"P38398"	"SINGLE PROTEIN"	"Homo sapiens"	"15822"	"15908"	"9606"	"False"
"CHEMBL2552"	"Carboxypeptidase B"	"P15086"	"SINGLE PROTEIN"	"Homo sapiens"	"100"	"100"	"9606"	"False"
"CHEMBL5330"	"Mitogen-activated protein kinase kinase kinase kinase 2"	"Q12851"	"SINGLE PROTEIN"	"Homo sapiens"	"2001"	"2743"	"9606"	"False"
"CHEMBL1287617"	"UDP-glucuronosyltransferase 1-1"	"P22309"	"SINGLE PROTEIN"	"Homo sapiens"	"243"	"455"	"9606"	"False"
"CHEMBL3379"	"Cytochrome P450 4F2"	"P78329"	"SINGLE PROTEIN"	"Homo sapiens"	"55"	"83"	"9606"	"False"
"CHEMBL5465389"	"ALK-KLC1"	"Q9UM73|Q07866"	"CHIMERIC PROTEIN"	"Homo sapiens"	"1"	"1"	"9606"	"False"
"CHEMBL4523423"	"Mitochondrial amidoxime reducing component 2"	"Q969Z3"	"SINGLE PROTEIN"	"Homo sapiens"	"21"	"38"	"9606"	"False"
"CHEMBL3542432"	"Flavin-containing monooxygenase"	"P31513|Q99518|P31512|P49326|Q01740"	"PROTEIN FAMILY"	"Homo sapiens"	"1"	"1"	"9606"	"False"
"CHEMBL3885552"	"Cyclin-dependent kinase 2/G1/S-specific cyclin-D1"	"P24385|P24941"	"PROTEIN COMPLEX"	"Homo sapiens"	"9"	"9"	"9606"	"False"
"CHEMBL4295963"	"ADP-ribose glycohydrolase ARH3"	"Q9NX46"	"SINGLE PROTEIN"	"Homo sapiens"	"3"	"3"	"9606"	"False"
"CHEMBL2062350"	"ATP synthase subunit beta, mitochondrial"	"P06576"	"SINGLE PROTEIN"	"Homo sapiens"	"3"	"5"	"9606"	"False"
"CHEMBL612409"	"Anti-estrogen binding site (AEBS)"	"Q15125|Q9UBM7"	"PROTEIN COMPLEX"	"Homo sapiens"	"68"	"124"	"9606"	"False"
"CHEMBL3542"	"Serine/threonine-protein kinase NIM1"	"Q8IY84"	"SINGLE PROTEIN"	"Homo sapiens"	"279"	"297"	"9606"	"False"
"CHEMBL1795191"	"Cyclin-dependent kinase 10"	"Q15131"	"SINGLE PROTEIN"	"Homo sapiens"	"90"	"94"	"9606"	"False"
"CHEMBL2990"	"Alcohol dehydrogenase class II"	"P08319"	"SINGLE PROTEIN"	"Homo sapiens"	"23"	"23"	"9606"	"False"
"CHEMBL5291599"	"Ubiquitin carboxyl-terminal hydrolase 24"	"Q9UPU5"	"SINGLE PROTEIN"	"Homo sapiens"	"1"	"1"	"9606"	"False"
"CHEMBL2062351"	"ATP synthase subunit alpha, mitochondrial"	"P25705"	"SINGLE PROTEIN"	"Homo sapiens"	"3"	"5"	"9606"	"False"
"CHEMBL4523674"	"DEPTOR/mTOR"	"P42345|Q8TB45"	"PROTEIN-PROTEIN INTERACTION"	"Homo sapiens"	"4"	"4"	"9606"	"False"
"CHEMBL3885501"	"1-acylglycerol-3-phosphate O-acyltransferase ABHD5/Perilipin-5"	"Q00G26|Q8WTS1"	"PROTEIN-PROTEIN INTERACTION"	"Homo sapiens"	"45"	"45"	"9606"	"False"
"CHEMBL2163175"	"Gamma-butyrobetaine dioxygenase"	"O75936"	"SINGLE PROTEIN"	"Homo sapiens"	"75"	"162"	"9606"	"False"
"CHEMBL4523711"	"Protein cereblon/Serine/threonine-protein kinase TBK1"	"Q9UHD2|Q96SW2"	"PROTEIN-PROTEIN INTERACTION"	"Homo sapiens"	"2"	"2"	"9606"	"False"
"CHEMBL4523622"	"NTRK1/NTRK2"	"P04629|Q16620"	"PROTEIN FAMILY"	"Homo sapiens"	"5"	"5"	"9606"	"False"
"CHEMBL4802064"	"Phosphatidylinositol 4-phosphate 5-kinase type-1 beta"	"O14986"	"SINGLE PROTEIN"	"Homo sapiens"	"5"	"5"	"9606"	"False"
"CHEMBL3219"	"Cholesterol esterase"	"P19835"	"SINGLE PROTEIN"	"Homo sapiens"	"20"	"33"	"9606"	"False"
"CHEMBL2146343"	"Dual specificity protein phosphatase 4"	"Q13115"	"SINGLE PROTEIN"	"Homo sapiens"	"7"	"7"	"9606"	"False"
"CHEMBL4433"	"Uroporphyrinogen-III synthase"	"P10746"	"SINGLE PROTEIN"	"Homo sapiens"	"15"	"30"	"9606"	"False"
"CHEMBL3165"	"Protein-tyrosine phosphatase MEG1"	"P29074"	"SINGLE PROTEIN"	"Homo sapiens"	"11"	"11"	"9606"	"False"
"CHEMBL1743321"	"UDP-glucuronosyltransferase 2A1"	"P0DTE4"	"SINGLE PROTEIN"	"Homo sapiens"	"47"	"59"	"9606"	"False"
"CHEMBL4270"	"Matrix metalloproteinase 10"	"P09238"	"SINGLE PROTEIN"	"Homo sapiens"	"309"	"370"	"9606"	"False"
"CHEMBL2157852"	"Ubiquitin carboxyl-terminal hydrolase 21"	"Q9UK80"	"SINGLE PROTEIN"	"Homo sapiens"	"31"	"108"	"9606"	"False"
"CHEMBL2963"	"Matrix metalloproteinase 15"	"P51511"	"SINGLE PROTEIN"	"Homo sapiens"	"44"	"50"	"9606"	"False"
"CHEMBL4810"	"Terminal deoxynucleotidyltransferase"	"P04053"	"SINGLE PROTEIN"	"Homo sapiens"	"70"	"76"	"9606"	"False"
"CHEMBL1741207"	"Sentrin-specific protease 8"	"Q96LD8"	"SINGLE PROTEIN"	"Homo sapiens"	"1263"	"1687"	"9606"	"False"
"CHEMBL6122"	"Group XIIA secretory phospholipase A2"	"Q9BZM1"	"SINGLE PROTEIN"	"Homo sapiens"	"16"	"16"	"9606"	"False"
"CHEMBL5982"	"ADAM9"	"Q13443"	"SINGLE PROTEIN"	"Homo sapiens"	"76"	"81"	"9606"	"False"
"CHEMBL2314"	"L-xylulose reductase"	"Q7Z4W1"	"SINGLE PROTEIN"	"Homo sapiens"	"11"	"11"	"9606"	"False"
"CHEMBL4630864"	"Phospholipase A and acyltransferase 4"	"Q9UL19"	"SINGLE PROTEIN"	"Homo sapiens"	"57"	"58"	"9606"	"False"
"CHEMBL2937"	"Matrix metalloproteinase 17"	"Q9ULZ9"	"SINGLE PROTEIN"	"Homo sapiens"	"23"	"28"	"9606"	"False"
"CHEMBL4523998"	"VHL/EGFR"	"P00533|P40337"	"PROTEIN-PROTEIN INTERACTION"	"Homo sapiens"	"80"	"334"	"9606"	"False"
"CHEMBL5050"	"Matrix metalloproteinase-24"	"Q9Y5R2"	"SINGLE PROTEIN"	"Homo sapiens"	"7"	"7"	"9606"	"False"
"CHEMBL5367"	"DNA polymerase lambda"	"Q9UGP5"	"SINGLE PROTEIN"	"Homo sapiens"	"104"	"184"	"9606"	"False"
"CHEMBL4523663"	"Serine/threonine-protein kinase 3/4"	"Q13043|Q13188"	"PROTEIN FAMILY"	"Homo sapiens"	"1"	"3"	"9606"	"False"
"CHEMBL3038517"	"CDK2/CDK4"	"P11802|P24941"	"PROTEIN FAMILY"	"Homo sapiens"	"6"	"6"	"9606"	"False"
"CHEMBL2500"	"Thiopurine S-methyltransferase"	"P51580"	"SINGLE PROTEIN"	"Homo sapiens"	"43"	"45"	"9606"	"False"
"CHEMBL3272"	"Cathepsin L2"	"O60911"	"SINGLE PROTEIN"	"Homo sapiens"	"243"	"275"	"9606"	"False"
"CHEMBL4523732"	"VHL/Cyclin-dependent kinase 4"	"P11802|P40337"	"PROTEIN-PROTEIN INTERACTION"	"Homo sapiens"	"17"	"27"	"9606"	"False"
"CHEMBL2242"	"Glutathione S-transferase Mu 3"	"P21266"	"SINGLE PROTEIN"	"Homo sapiens"	"2"	"2"	"9606"	"False"
"CHEMBL1743185"	"Microsomal glutathione S-transferase 2"	"Q99735"	"SINGLE PROTEIN"	"Homo sapiens"	"3"	"3"	"9606"	"False"
"CHEMBL2111457"	"Carbonic anhydrase V"	"Q9Y2D0|P35218"	"PROTEIN FAMILY"	"Homo sapiens"	"35"	"54"	"9606"	"False"
"CHEMBL3627585"	"Pseudopodium-enriched atypical kinase 1"	"Q9H792"	"SINGLE PROTEIN"	"Homo sapiens"	"17"	"21"	"9606"	"False"
"CHEMBL2933"	"Potassium-transporting ATPase alpha chain 2"	"P54707"	"SINGLE PROTEIN"	"Homo sapiens"	"82"	"83"	"9606"	"False"
"CHEMBL4523631"	"CDK9/Cyclin-T2"	"P50750|O60583"	"PROTEIN COMPLEX"	"Homo sapiens"	"6"	"7"	"9606"	"False"
"CHEMBL5909"	"Hypoxia-inducible factor 1-alpha inhibitor"	"Q9NWT6"	"SINGLE PROTEIN"	"Homo sapiens"	"95"	"102"	"9606"	"False"
"CHEMBL4105740"	"Choline/ethanolaminephosphotransferase 1"	"Q9Y6K0"	"SINGLE PROTEIN"	"Homo sapiens"	"49"	"65"	"9606"	"False"
"CHEMBL4523984"	"MMP-1/MMP-2"	"P08253|P03956"	"SELECTIVITY GROUP"	"Homo sapiens"	"87"	"87"	"9606"	"False"
"CHEMBL2111375"	"Vascular endothelial growth factor receptor 2 and tyrosine-protein kinase TIE-2 (KDR and TIE2)"	"P35968|Q02763"	"SELECTIVITY GROUP"	"Homo sapiens"	"14"	"14"	"9606"	"False"
"CHEMBL4880"	"Triosephosphate isomerase"	"P60174"	"SINGLE PROTEIN"	"Homo sapiens"	"21"	"22"	"9606"	"False"
"CHEMBL2079845"	"GTPase NRas"	"P01111"	"SINGLE PROTEIN"	"Homo sapiens"	"4"	"8"	"9606"	"False"
"CHEMBL5350"	"Bone morphogenetic protein 4"	"P12644"	"SINGLE PROTEIN"	"Homo sapiens"	"33"	"33"	"9606"	"False"
"CHEMBL2146300"	"Glycosyltransferase-like protein LARGE1"	"O95461"	"SINGLE PROTEIN"	"Homo sapiens"	"99"	"104"	"9606"	"False"
"CHEMBL5291977"	"GTPase KRas/RAF1"	"P04049|P01116"	"PROTEIN-PROTEIN INTERACTION"	"Homo sapiens"	"4"	"4"	"9606"	"False"
"CHEMBL5291523"	"CTP synthase 1"	"P17812"	"SINGLE PROTEIN"	"Homo sapiens"	"266"	"280"	"9606"	"False"
"CHEMBL2169728"	"Pancreatic lipase-related protein 2"	"P54317"	"SINGLE PROTEIN"	"Homo sapiens"	"4"	"17"	"9606"	"False"
"CHEMBL4925"	"Adenylate kinase 1"	"P00568"	"SINGLE PROTEIN"	"Homo sapiens"	"6"	"18"	"9606"	"False"
"CHEMBL3891"	"Calpain 1"	"P07384"	"SINGLE PROTEIN"	"Homo sapiens"	"987"	"1277"	"9606"	"False"
"CHEMBL5855"	"Serine/threonine-protein kinase Nek1"	"Q96PY6"	"SINGLE PROTEIN"	"Homo sapiens"	"1333"	"1934"	"9606"	"False"
"CHEMBL3407326"	"Pantothenate kinase 1"	"Q8TE04"	"SINGLE PROTEIN"	"Homo sapiens"	"30"	"31"	"9606"	"False"
"CHEMBL5260"	"Serine/threonine-protein kinase TNNI3K"	"Q59H18"	"SINGLE PROTEIN"	"Homo sapiens"	"500"	"639"	"9606"	"False"
"CHEMBL4106183"	"Glutaminase 1/2"	"O94925|Q9UI32"	"PROTEIN FAMILY"	"Homo sapiens"	"3"	"5"	"9606"	"False"
