Uniprot_id,KEGG,family
A0AVT1,hsa:55236,hsa00001
A0AVT1,hsa:55236,hsa04121
A0AVT1,hsa:55236,hsa01000
A0AVT1,hsa:55236,hsa04121
A1L3X0,hsa:79993,hsa00001
A1L3X0,hsa:79993,hsa01004
A1L3X0,hsa:79993,hsa01000
A1L3X0,hsa:79993,hsa01004
A1Z1Q3,hsa:140733,hsa00001
A1Z1Q3,hsa:140733,hsa01000
A5LHX3,hsa:122706,hsa00001
A5LHX3,hsa:122706,hsa03051
A5LHX3,hsa:122706,hsa01000
A5LHX3,hsa:122706,hsa03051
A5PKW4,hsa:5662,hsa00001
A5PKW4,hsa:5662,hsa04131
A5PKW4,hsa:5662,hsa04131
A5X5Y0,hsa:285242,hsa00001
A5X5Y0,hsa:285242,hsa04040
A5X5Y0,hsa:285242,hsa04040
A6NHL2,hsa:79861,hsa00001
A6NHL2,hsa:79861,hsa03019
A6NHL2,hsa:79861,hsa03036
A6NHL2,hsa:79861,hsa04812
A6NHL2,hsa:79861,hsa04147
A6NHL2,hsa:79861,hsa03019
A6NHL2,hsa:79861,hsa03036
A6NHL2,hsa:79861,hsa04812
A6NHL2,hsa:79861,hsa04147
O00141,hsa:6446,hsa00001
O00141,hsa:6446,hsa01001
O00141,hsa:6446,hsa01000
O00141,hsa:6446,hsa01001
O00142,hsa:7084,hsa00001
O00142,hsa:7084,hsa01000
O00148,hsa:10212,hsa00001
O00148,hsa:10212,hsa03041
O00148,hsa:10212,hsa01000
O00148,hsa:10212,hsa03041
O00167,hsa:2139,hsa00001
O00167,hsa:2139,hsa01009
O00167,hsa:2139,hsa01000
O00167,hsa:2139,hsa01009
O00182,hsa:3965,hsa00001
O00182,hsa:3965,hsa04091
O00182,hsa:3965,hsa04091
O00187,hsa:10747,hsa00001
O00187,hsa:10747,hsa01002
O00187,hsa:10747,hsa01000
O00187,hsa:10747,hsa01002
O00206,hsa:7099,hsa00001
O00206,hsa:7099,hsa04131
O00206,hsa:7099,hsa04054
O00206,hsa:7099,hsa04090
O00206,hsa:7099,hsa00536
O00206,hsa:7099,hsa04131
O00206,hsa:7099,hsa04054
O00206,hsa:7099,hsa04090
O00206,hsa:7099,hsa00536
O00214,hsa:3964,hsa00001
O00214,hsa:3964,hsa04131
O00214,hsa:3964,hsa04091
O00214,hsa:3964,hsa04131
O00214,hsa:3964,hsa04091
O00217,hsa:4728,hsa00001
O00217,hsa:4728,hsa01000
O00222,hsa:2918,hsa00001
O00222,hsa:2918,hsa01009
O00222,hsa:2918,hsa04030
O00222,hsa:2918,hsa01009
O00222,hsa:2918,hsa04030
O00231,hsa:5717,hsa00001
O00231,hsa:5717,hsa03051
O00231,hsa:5717,hsa03051
O00232,hsa:5718,hsa00001
O00232,hsa:5718,hsa03051
O00232,hsa:5718,hsa03051
O00238,hsa:658,hsa00001
O00238,hsa:658,hsa01001
O00238,hsa:658,hsa04090
O00238,hsa:658,hsa01000
O00238,hsa:658,hsa01001
O00238,hsa:658,hsa04090
O00255,hsa:4221,hsa00001
O00255,hsa:4221,hsa03036
O00255,hsa:4221,hsa03036
O00257,hsa:8535,hsa00001
O00257,hsa:8535,hsa04121
O00257,hsa:8535,hsa03036
O00257,hsa:8535,hsa04121
O00257,hsa:8535,hsa03036
O00264,hsa:10857,hsa00001
O00264,hsa:10857,hsa04147
O00264,hsa:10857,hsa04147
O00305,hsa:785,hsa00001
O00305,hsa:785,hsa04040
O00305,hsa:785,hsa04040
O00311,hsa:8317,hsa00001
O00311,hsa:8317,hsa01001
O00311,hsa:8317,hsa03032
O00311,hsa:8317,hsa01000
O00311,hsa:8317,hsa01001
O00311,hsa:8317,hsa03032
O00329,hsa:5293,hsa00001
O00329,hsa:5293,hsa04131
O00329,hsa:5293,hsa01000
O00329,hsa:5293,hsa04131
O00400,hsa:9197,hsa00001
O00400,hsa:9197,hsa02000
O00400,hsa:9197,hsa02000
O00400,hsa:9197,2.A.1.25
O00408,hsa:5138,hsa00001
O00408,hsa:5138,hsa01000
O00411,hsa:5442,hsa00001
O00411,hsa:5442,hsa03029
O00411,hsa:5442,hsa01000
O00411,hsa:5442,hsa03029
O00418,hsa:29904,hsa00001
